Nome;Ano;
http://www.ale.am.gov.br/wp-content/uploads/2015/05/CEAP-ACUMULADA-ABRIL-2015.pdf;Acumuladas;2015;Abril
http://www.ale.am.gov.br/wp-content/uploads/2015/05/AbdalaFraxe6.pdf;Dep. Abdala Fraxe;2015;Abril
http://www.ale.am.gov.br/wp-content/uploads/2015/05/AdjutoAfonso.pdf;Dep. Adjuto Afonso;2015;Abril
http://www.ale.am.gov.br/wp-content/uploads/2015/05/CaboMaciel.pdf;Dep. Alcimar Maciel;2015;Abril
http://www.ale.am.gov.br/wp-content/uploads/2015/05/AlessandraCampelo.pdf;Dep. Alessandra Campelo;2015;Abril
http://www.ale.am.gov.br/wp-content/uploads/2015/05/AugustoFerraz.pdf;Dep. Augusto Ferraz;2015;Abril
http://www.ale.am.gov.br/wp-content/uploads/2015/05/BelarminoLins1.pdf;Dep. Belarmino Lins;2015;Abril
http://www.ale.am.gov.br/wp-content/uploads/2015/05/BiGarcia.pdf;Dep. Bi Garcia;2015;Abril
http://www.ale.am.gov.br/wp-content/uploads/2015/05/BoscoSaraiva.pdf;Dep. Bosco Saraiva;2015;Abril
http://www.ale.am.gov.br/wp-content/uploads/2015/05/CarlosAlberto.pdf;Dep. Carlos Alberto;2015;Abril
http://www.ale.am.gov.br/wp-content/uploads/2015/05/DavidAlmeida.pdf;Dep. David Almeida;2015;Abril
http://www.ale.am.gov.br/wp-content/uploads/2015/05/DermilsonChagas.pdf;Dep. Dermilson Chagas;2015;Abril
http://www.ale.am.gov.br/wp-content/uploads/2015/05/Dr.Gomes_.pdf;Dep. Francisco Gomes;2015;Abril
http://www.ale.am.gov.br/wp-content/uploads/2015/05/FranciscoSouza.pdf;Dep. Francisco Souza;2015;Abril
http://www.ale.am.gov.br/wp-content/uploads/2015/05/JoseRicardo.pdf;Dep. José Ricardo;2015;Abril
http://www.ale.am.gov.br/wp-content/uploads/2015/05/JosueNeto.pdf;Dep. Josué Neto;2015;Abril
http://www.ale.am.gov.br/wp-content/uploads/2015/05/LuizCastro.pdf;Dep. Luiz Castro;2015;Abril
http://www.ale.am.gov.br/wp-content/uploads/2015/05/OrlandoCidade.pdf;Dep. Orlando Cidade;2015;Abril
http://www.ale.am.gov.br/wp-content/uploads/2015/05/PlatinySoares.pdf;Dep. Platiny Soares;2015;Abril
http://www.ale.am.gov.br/wp-content/uploads/2015/05/RicardoNicolau.pdf;Dep. Ricardo Nicolau;2015;Abril
http://www.ale.am.gov.br/wp-content/uploads/2015/05/SabaReis.pdf;Dep. Sabá Reis;2015;Abril
http://www.ale.am.gov.br/wp-content/uploads/2015/05/SerafimCorrea.pdf;Dep. Serafim Côrrea;2015;Abril
http://www.ale.am.gov.br/wp-content/uploads/2015/05/SinesioCampos.pdf;Dep. Sinésio Campos;2015;Abril
http://www.ale.am.gov.br/wp-content/uploads/2015/05/VicenteLopes.pdf;Dep. Vicente Lopes;2015;Abril
http://www.ale.am.gov.br/wp-content/uploads/2015/05/WanderleyDallas.pdf;Dep. Wanderley Dallas;2015;Abril
