REFRIGERANTE GURY COLA 350ML;R$ 1,49;BIG AMIGAO F1;RUA DOS BARES, NRO 425, CENTRO, NAO INFORMADO, MANAUS-AM, CEP 69005-020
REFRIGERANTE FLESH;R$ 1,49;SUPER JB;AVE BARAO DO RIO BRANCO, NRO 015, FLORES, MANAUS-AM, CEP 69058-581
REFRIGERANTE MAGISTRAL 350ML;R$ 1,50;MERCADINHO SALVADOR;R JOAO PAULO I, NRO 336, ALVORADA, MANAUS-AM, CEP 69042-210
COCA COLA REFRIGERANTE DE COLA SABOR ORIGINAL,250ML;R$ 1,50;MERCADINHO UNIAO;AV DUQUE DE CAXIAS, NRO 1246, PRACA 14 DE JANEIRO, MANAUS-AM, CEP 69020-141
REFRIGERANTE COCA-COLA PET 250ML [DIVERSOS];R$ 1,50;COMERCIAL RHYANNA;RUA GUAJURU, NRO 012, CIDADE NOVA, MANAUS-AM, CEP 69090-326
REFRIGERANTE GUARANA TUCHAUA CHAMP PET 250ML;R$ 1,50;ESQUINA DAS FRUTAS E VERDURAS;R LUIS OTAVIO, NRO 002, SANTA ETELVINA, A, MANAUS-AM, CEP 69059-320
REFRIGERANTE MAGISTRAL 350ML;R$ 1,50;MERCADINHO WM;AV. RIO NEGRO NUMERO 11, NRO 011, PARQUE 10 DE NOVEMBR, MANAUS-AM, CEP 69050-520
REFRIGERANTE GUARANA;R$ 1,50;MERCADINHO VERONA;AV OSCAR BOREL, NRO 233, COMPENSA, MANAUS-AM, CEP 69035-210
CITRUS,SANTA CLAUDIA REFRIGERANTE DE FRUTAS,350ML;R$ 1,50;MERCADINHO UNIAO;AV DUQUE DE CAXIAS, NRO 1246, PRACA 14 DE JANEIRO, MANAUS-AM, CEP 69020-141
REFRIGERANTE FANTA PET 250ML;R$ 1,50;MERCADINHO ADAO EVA;RUA PROFESSORA RAIMUNDA MAGALHAES, NRO 103, COROADO II, MANAUS-AM, CEP 69080-271
REFRIGERANTE MAGISTRAL 350ML;R$ 1,50;MERCADINHO VALE DO SOL;RUA DA PASSAGEM, NRO 012, JARDIM PETROPOLIS, MANAUS-AM, CEP 69067-332
