Nome;Ano;
http://www.ale.am.gov.br/wp-content/uploads/2015/06/CEAP-ACUMULADA-MAIO-20151.pdf;Acumuladas;2015;Maio
http://www.ale.am.gov.br/wp-content/uploads/2015/06/abdala.pdf;Dep. Abdala Fraxe;2015;Maio
http://www.ale.am.gov.br/wp-content/uploads/2015/06/Adjuto-teste.pdf;Dep. Adjuto Afonso;2015;Maio
http://www.ale.am.gov.br/wp-content/uploads/2015/06/Alcimar-tste.pdf;Dep. Alcimar Maciel;2015;Maio
http://www.ale.am.gov.br/wp-content/uploads/2015/06/alessandra1.pdf;Dep. Alessandra Campelo;2015;Maio
http://www.ale.am.gov.br/wp-content/uploads/2015/06/ferraz.pdf;Dep. Augusto Ferraz;2015;Maio
http://www.ale.am.gov.br/wp-content/uploads/2015/06/belarmino.pdf;Dep. Belarmino Lins;2015;Maio
http://www.ale.am.gov.br/wp-content/uploads/2015/06/Carlos-Alberto-teste.pdf;Dep. Carlos Alberto;2015;Maio
http://www.ale.am.gov.br/wp-content/uploads/2015/06/DAVID.pdf;Dep. David Almeida;2015;Maio
http://www.ale.am.gov.br/wp-content/uploads/2015/06/GOMES.pdf;Dep. Francisco Gomes;2015;Maio
http://www.ale.am.gov.br/wp-content/uploads/2015/06/Francisco-Souza1.pdf;Dep. Francisco Souza;2015;Maio
http://www.ale.am.gov.br/wp-content/uploads/2015/06/Bi-Garcia-teste.pdf;Dep. Frank Luiz da Cunha Garcia;2015;Maio
http://www.ale.am.gov.br/wp-content/uploads/2015/06/Bosco-Saraiva1.pdf;Dep. João Bosco Saraiva;2015;Maio
http://www.ale.am.gov.br/wp-content/uploads/2015/06/Jose-Ricardo1.pdf;Dep. José Ricardo;2015;Maio
http://www.ale.am.gov.br/wp-content/uploads/2015/06/Dallas1.pdf;Dep. José Wanderley Dallas;2015;Maio
http://www.ale.am.gov.br/wp-content/uploads/2015/06/Josue-Claudio1.pdf;Dep. Josué Neto;2015;Maio
http://www.ale.am.gov.br/wp-content/uploads/2015/06/luiz-castro.pdf;Dep. Luiz Castro;2015;Maio
http://www.ale.am.gov.br/wp-content/uploads/2015/06/Ricardo-Nicolau1.pdf;Dep. Luiz Ricardo Nicolau;2015;Maio
http://www.ale.am.gov.br/wp-content/uploads/2015/06/Orlando1.pdf;Dep. Orlando Cidade;2015;Maio
http://www.ale.am.gov.br/wp-content/uploads/2015/06/Platiny1.pdf;Dep. Platiny Soares;2015;Maio
http://www.ale.am.gov.br/wp-content/uploads/2015/06/Saba-reis1.pdf;Dep. Sebastião Reis;2015;Maio
http://www.ale.am.gov.br/wp-content/uploads/2015/06/Serafim1.pdf;Dep. Serafim Corrêa;2015;Maio
http://www.ale.am.gov.br/wp-content/uploads/2015/06/sinesio.pdf;Dep. Sinésio Campos.;2015;Maio
http://www.ale.am.gov.br/wp-content/uploads/2015/06/vicente1.pdf;Dep. Vicente Lopes;2015;Maio
http://www.ale.am.gov.br/wp-content/uploads/2015/06/Dermilson-Chagas.pdf;Dep.Dermilson Chagas;2015;Maio
