Nome;Ano;
http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-ACUMULADA-FEVEREIRO-2015.pdf;Acumuladas;2015;Fevereiro
http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-ABDALA-FRAXE2.pdf;Dep. Abdala Fraxe;2015;Fevereiro
http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-ADJUTO-AFONSO-_Salvo-Automaticamente_.pdf;Dep. Adjuto Afonso;2015;Fevereiro
http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-CABO-MACIEL.pdf;Dep. Alcimar Maciel;2015;Fevereiro
http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-ALESSANDRA-CAMPELO1.pdf;Dep. Alessandra Campêlo;2015;Fevereiro
http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-JOSE-ALGUSTO-FERRAZ.pdf;Dep. Augusto Ferraz;2015;Fevereiro
http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-BELARMINO-LINS.pdf;Dep. Belarmino Lins;2015;Fevereiro
http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-JOaO-BOSCO.pdf;Dep. Bosco Saraiva;2015;Fevereiro
http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-CARLOS-ALBERTO-DE-CASTRO.pdf;Dep. Carlos Alberto;2015;Fevereiro
http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-DAVID-ALMEIDA.pdf;Dep. David Almeida;2015;Fevereiro
http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-DERMILSON-CARVALHO.pdf;Dep. Dermilson Chagas;2015;Fevereiro
http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-FRANCISCO-SOUZA.pdf;Dep. Francisco Souza;2015;Fevereiro
http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-FRANK-LUIZ.pdf;Dep. Frank Luiz;2015;Fevereiro
http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-JOSE-RICARDO.pdf;Dep. José Ricardo;2015;Fevereiro
http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-JOSUe-NETO.pdf;Dep. Josué Neto;2015;Fevereiro
http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-LUIS-CASTRO.pdf;Dep. Luiz Castro;2015;Fevereiro
http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-ORLANDO-CIDADE.pdf;Dep. Orlando Cidade;2015;Fevereiro
http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-PLATINY-SOARES.pdf;Dep. Platiny Soares;2015;Fevereiro
http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-RICARDO-NICOLAU.pdf;Dep. Ricardo Nicolau;2015;Fevereiro
http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-SABA-REIS.pdf;Dep. Sabá Reis;2015;Fevereiro
http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-SERAFIM-FERNANDES.pdf;Dep. Serafim Corrêa;2015;Fevereiro
http://www.ale.am.gov.br/wp-content/uploads/2015/03/SIDNEY-LEITE.pdf;Dep. Sidney Leite;2015;Fevereiro
http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-SINeSIO-CAMPOS.pdf;Dep. Sinésio Campos;2015;Fevereiro
http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-VICENTE-LOPES.pdf;Dep. Vicente Lopes;2015;Fevereiro
http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-WANDERLEY-DALLAS.pdf;Dep. Wanderley Dallas;2015;Fevereiro
