Nome;Ano;
http://www.ale.am.gov.br/wp-content/uploads/2015/12/CEAP-ACUMULADA-NOVEMBRO-2015-AT.pdf;Acumuladas;2015;Novembro
http://www.ale.am.gov.br/wp-content/uploads/2015/12/Abdala-Fraxe.pdf;Dep. Abdala Fraxe;2015;Novembro
http://www.ale.am.gov.br/wp-content/uploads/2015/12/Adjuto-Afonso.pdf;Dep. Adjuto Afonso;2015;Novembro
http://www.ale.am.gov.br/wp-content/uploads/2015/12/Alcimar-Maciel.pdf;Dep. Alcimar Maciel;2015;Novembro
http://www.ale.am.gov.br/wp-content/uploads/2015/12/Alessandra-Campelo.pdf;Dep. Alessandra Campêlo;2015;Novembro
http://www.ale.am.gov.br/wp-content/uploads/2015/12/Berlarmino-Lins.pdf;Dep. Belarmino Lins;2015;Novembro
http://www.ale.am.gov.br/wp-content/uploads/2015/12/Bi-Garcia.pdf;Dep. Bi Garcia;2015;Novembro
http://www.ale.am.gov.br/wp-content/uploads/2015/12/Bosco-Saraiva.pdf;Dep. Bosco Saraiva;2015;Novembro
http://www.ale.am.gov.br/wp-content/uploads/2015/12/Carlos-Alberto.pdf;Dep. Carlos Alberto;2015;Novembro
http://www.ale.am.gov.br/wp-content/uploads/2015/12/David-Almeida.pdf;Dep. David Almeida;2015;Novembro
http://www.ale.am.gov.br/wp-content/uploads/2015/12/Dermilson-Chagas.pdf;Dep. Dermilson Chagas;2015;Novembro
http://www.ale.am.gov.br/wp-content/uploads/2015/12/Francisco-Gomes.pdf;Dep. Francisco Gomes;2015;Novembro
http://www.ale.am.gov.br/wp-content/uploads/2015/12/Francisco-Souza.pdf;Dep. Francisco Souza;2015;Novembro
http://www.ale.am.gov.br/wp-content/uploads/2015/12/Augusto-Ferraz.pdf;Dep. José Augusto Ferraz;2015;Novembro
http://www.ale.am.gov.br/wp-content/uploads/2015/12/Jose-Ricardo.pdf;Dep. José Ricardo;2015;Novembro
http://www.ale.am.gov.br/wp-content/uploads/2015/12/Josue-Neto.pdf;Dep. Josué Neto;2015;Novembro
http://www.ale.am.gov.br/wp-content/uploads/2015/12/Luiz-Castro.pdf;Dep. Luiz Castro;2015;Novembro
http://www.ale.am.gov.br/wp-content/uploads/2015/12/Orlando-Cidade.pdf;Dep. Orlando Cidade;2015;Novembro
http://www.ale.am.gov.br/wp-content/uploads/2015/12/Platiny-Soares.pdf;Dep. Platiny Soares;2015;Novembro
http://www.ale.am.gov.br/wp-content/uploads/2015/12/Ricardo-Nicolau.pdf;Dep. Ricardo Nicolau;2015;Novembro
http://www.ale.am.gov.br/wp-content/uploads/2015/12/Saba-Reis.pdf;Dep. Sabá Reis;2015;Novembro
http://www.ale.am.gov.br/wp-content/uploads/2015/12/Serafim-Correa.pdf;Dep. Serafim Corrêa;2015;Novembro
http://www.ale.am.gov.br/wp-content/uploads/2015/12/Sinesio-Campos.pdf;Dep. Sinésio Campos;2015;Novembro
http://www.ale.am.gov.br/wp-content/uploads/2015/12/Vicente-Lopes.pdf;Dep. Vicente Lopes;2015;Novembro
http://www.ale.am.gov.br/wp-content/uploads/2015/12/Wanderley-Dallas.pdf;Dep. Wanderley Dallas;2015;Novembro
