BOLO BAUDUCCO BRIG 40G C 1PC                 DE:1,25 POR:1,22 ECONOMIA:2,40%;1.25;DROGARIAS SANTO REMEDIO - TORQUATO TAPAJOS;AVE TORQUATO TAPAJOS, NRO 4160, FLORES, A, MANAUS-AM, CEP 69048-971
BOLO BAUDUCCO BRIG 40G C 1PC                 DE:3,75 POR:3,66 ECONOMIA:2,40%;1.25;DROGARIAS SANTO REMEDIO - TORQUATO TAPAJOS;AVE TORQUATO TAPAJOS, NRO 4160, FLORES, A, MANAUS-AM, CEP 69048-971
BOLO BAUDUCCO BRIG 40G C 1PC         DE:125 POR:122 ECONOI:240;1.25;DROGARIA SANTO REMEDIO - CIDADE NOVA I;GUAPO, NRO 68, CIDADE NOVA, Q20, MANAUS-AM, CEP 69090-040
BOLO BAUDUCCO BAUN CHOC 40G C 1PC;1.25;SANTO REMEDIO CHAPEU GOIANO;JOAO CAMARA, NRO 36, NOVO ALEIXO, C32 LOTE 36 L, MANAUS-AM, CEP 69098-165
BOLO MINI BAUDUCCO B;1.39;CARREFOUR;AV JORNALISTA HUMBERTO CALDERARO FILHO 203, NRO 203, ADRIANOPOLIS, MANAUS-AM, CEP 69057-015
BOLO BAUDUCCO KIDS BRIG 40G;1.49;ALIANCA SUPERMERCADO;RUA CASSIOPEIA, SANTO AGOSTINHO, MANAUS-AM, CEP 69036-600
BOLO BAUDUCCO LARANJA 30G;1.49;ALIANCA SUPERMERCADO;RUA CASSIOPEIA, SANTO AGOSTINHO, MANAUS-AM, CEP 69036-600
BOLO BAUDUCCO KIDS BAUN/CHOC 40G;1.49;ALIANCA SUPERMERCADO;RUA CASSIOPEIA, SANTO AGOSTINHO, MANAUS-AM, CEP 69036-600
CORANTE P/ BOLO MIX;1.75;MERCADINHO ITALIA;RUA E 14, NRO 262, ALVORADA, MANAUS-AM, CEP 69042-000
MINI BOLO RECH ANA M;1.79;CARREFOUR;AV DJALMA BATISTA 482 LOJA B  CHAPADA, NRO 482, CHAPADA, LOJA B, MANAUS-AM, CEP 69050-902
MINI BOLO ANA MARIA;1.79;CARREFOUR;AV DJALMA BATISTA 276 FLORES, NRO 276, FLORES, MANAUS-AM, CEP 69050-010
BOLO BAUNILHA BONUTR;1.89;ELIANE CAVALCANTE PINTO ME;BOM INTENTO, NRO 121, SAO JOSE OPERARIO, MANAUS-AM, CEP 69086-133
CORANTE P/ BOLO MIX;1.99;MERCADINHO VALE DO SOL;RUA THOMAS EDSON , 78, NRO 78, LIRIO DO VALE, MANAUS-AM, CEP 69037-820
BOLO DE MACAXEIRA UN;2.0;PANIFICADORA KATIUCIA;AV. CONSTANTINO NERY, NRO 110, CENTRO, MANAUS-AM, CEP 69000-000
BOLO CONFEITADO FATI;2.0;COMERCIAL ALEX;RUA DOUTOR ARGEMIRO GERMANO, NRO 032, CIDADE NOVA, MANAUS-AM, CEP 69090-742
BOLO DE MILHO;2.0;M. C. RIBEIRO NOGUEIRA;AV JOAQUIM NABUCO, NRO 00564, CENTRO, MANAUS-AM, CEP 69005-080
BOLO DE QUEIJO;2.0;MERCADINHO RIO NEGRO;AV. BATRUM, NRO 076, TANCREDO NEVES, MANAUS-AM, CEP 69087-641
