Nome;Ano;
http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-ACUMULADA-JANEIRO-20151.pdf;acumuladas;2015;Janeiro
http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-ABDALA-FRAXE1.pdf;Dep. Abdala Fraxe;2015;Janeiro
http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-ADJUTO-AFONSO-_Salvo-Automaticamente_.pdf;Dep. Adjuto Afonso;2015;Janeiro
http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-CABO-MACIEL2.pdf;Dep. Alcimar Maciel;2015;Janeiro
http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-ARTHUR-BISNETO1.pdf;Dep. Arthur Bisneto;2015;Janeiro
http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-BELARMINO-LINS1.pdf;Dep. Belarmino Lins;2015;Janeiro
http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-MARCOS-DA-COSTA2.pdf;Dep. Chico Preto;2015;Janeiro
http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-CONCEIcaO-SAMPAIO1.pdf;Dep. Conceição Sampaio;2015;Janeiro
http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-DAVID-ALMEIDA1.pdf;Dep. David Almeida;2015;Janeiro
http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-FAUSTO-SOUZA1.pdf;Dep. Fausto Souza;2015;Janeiro
http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-FRANCISCO-SOUZA1.pdf;Dep. Francisco Souza;2015;Janeiro
http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-JOSE-RICARDO1.pdf;Dep. José Ricardo;2015;Janeiro
http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-WANDERLEY-DALLAS1.pdf;Dep. José Wanderley Dallas;2015;Janeiro
http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-JOSUe-NETO1.pdf;Dep. Josué Neto;2015;Janeiro
http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-LUIS-CASTRO1.pdf;Dep. Luiz Castro;2015;Janeiro
http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-MARCELO-RAMOS1.pdf;Dep. Marcelo Ramos;2015;Janeiro
http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-MARCOS-ROTTA3.pdf;Dep. Marcos Rotta;2015;Janeiro
http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-ORLANDO-CIDADE1.pdf;Dep. Orlando Cidade;2015;Janeiro
http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-RICARDO-NICOLAU1.pdf;Dep. Ricardo Nicolau;2015;Janeiro
http://www.ale.am.gov.br/wp-content/uploads/2015/02/SIDNEY-LEITE1.pdf;Dep. Sidney Leite;2015;Janeiro
http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-SINeSIO-CAMPOS1.pdf;Dep. Sinésio Campos;2015;Janeiro
http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-JOaO-DE-MEDEIROS1.pdf;Dep. Tony Medeiros;2015;Janeiro
http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-VERA-CASTELO-BRANCO1.pdf;Dep. Vera Lúcia Castelo Branco;2015;Janeiro
http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-VICENTE-LOPES1.pdf;Dep. Vicente Lopes;2015;Janeiro
http://www.ale.am.gov.br/wp-content/uploads/2015/02/WILSON-LISBOA1.pdf;Dep. Wilson Lisboa;2015;Janeiro
