ACUMULADAS;http://www.ale.am.gov.br/wp-content/uploads/2018/02/ACUMULADAS-2.pdf;2018;Janeiro
DEP. ABDALA FRAXE;http://www.ale.am.gov.br/wp-content/uploads/2018/02/ABDALA-1.pdf;2018;Janeiro
