Nome;Ano;
http://www.ale.am.gov.br/wp-content/uploads/2015/10/acumuladas.pdf;acumuladas;2015;Setembro
http://www.ale.am.gov.br/wp-content/uploads/2015/10/abdala.pdf;Dep. Abdala Fraxe;2015;Setembro
http://www.ale.am.gov.br/wp-content/uploads/2015/10/adjuto.pdf;Dep. Adjuto Afonso;2015;Setembro
http://www.ale.am.gov.br/wp-content/uploads/2015/10/alessandra.pdf;Dep. Alessandra Campêlo;2015;Setembro
http://www.ale.am.gov.br/wp-content/uploads/2015/10/belarmino1.pdf;Dep. Belarmino Lins;2015;Setembro
http://www.ale.am.gov.br/wp-content/uploads/2015/10/carlos-alberto.pdf;Dep. Carlos Alberto;2015;Setembro
http://www.ale.am.gov.br/wp-content/uploads/2015/10/david.pdf;Dep. David Almeida;2015;Setembro
http://www.ale.am.gov.br/wp-content/uploads/2015/10/dermilson.pdf;Dep. Dermilson Chagas;2015;Setembro
http://www.ale.am.gov.br/wp-content/uploads/2015/10/gomes.pdf;Dep. Francisco Gomes;2015;Setembro
http://www.ale.am.gov.br/wp-content/uploads/2015/10/francisco-souza.pdf;Dep. Francisco Souza;2015;Setembro
http://www.ale.am.gov.br/wp-content/uploads/2015/10/augusto-ferraz.pdf;Dep. José Augusto  Ferraz;2015;Setembro
http://www.ale.am.gov.br/wp-content/uploads/2015/10/josue-Neto.pdf;Dep. Josué Neto;2015;Setembro
http://www.ale.am.gov.br/wp-content/uploads/2015/10/luiz-castro.pdf;Dep. Luiz Castro;2015;Setembro
http://www.ale.am.gov.br/wp-content/uploads/2015/10/orlando-cidade.pdf;DEp. Orlando Cidade;2015;Setembro
http://www.ale.am.gov.br/wp-content/uploads/2015/10/platiny.pdf;Dep. Platiny Soares;2015;Setembro
http://www.ale.am.gov.br/wp-content/uploads/2015/10/ricardo.pdf;Dep. Ricardo Nicolau;2015;Setembro
http://www.ale.am.gov.br/wp-content/uploads/2015/10/serafim.pdf;Dep. Serafim Corrêa;2015;Setembro
http://www.ale.am.gov.br/wp-content/uploads/2015/10/vicente.pdf;Dep. Vicente Lopes;2015;Setembro
http://www.ale.am.gov.br/wp-content/uploads/2015/10/wanderley-dallas.pdf;Dep. Wanderley Dallas;2015;Setembro
http://www.ale.am.gov.br/wp-content/uploads/2015/10/alcimar.pdf;Dep.Alcimar Maciel;2015;Setembro
http://www.ale.am.gov.br/wp-content/uploads/2015/10/bosco-saraiva.pdf;Dep.Bosco Saraiva;2015;Setembro
http://www.ale.am.gov.br/wp-content/uploads/2015/10/BI.pdf;Dep.Frank Garcia;2015;Setembro
http://www.ale.am.gov.br/wp-content/uploads/2015/10/jose-ricardo1.pdf;Dep.José Ricardo;2015;Setembro
http://www.ale.am.gov.br/wp-content/uploads/2015/10/sabaa.pdf;Dep.Sabá Reis;2015;Setembro
http://www.ale.am.gov.br/wp-content/uploads/2015/10/sinesio.pdf;Dep.Sinésio Campos;2015;Setembro
