Nome;Ano;
http://www.ale.am.gov.br/wp-content/uploads/2015/07/Estrutura.pdf;Acumuladas;2015;Junho
http://www.ale.am.gov.br/wp-content/uploads/2015/07/vicentegfgfgf.pdf;Dep Vicente Lopes;2015;Junho
http://www.ale.am.gov.br/wp-content/uploads/2015/07/adjutofefdfd.pdf;Dep. Adjuto Afonso;2015;Junho
http://www.ale.am.gov.br/wp-content/uploads/2015/07/cabo-maciel.pdf;Dep. Alcimar Maciel;2015;Junho
http://www.ale.am.gov.br/wp-content/uploads/2015/07/alessandraffdfdfd.pdf;Dep. Alessandra Campelo;2015;Junho
http://www.ale.am.gov.br/wp-content/uploads/2015/07/belarminodffdfd.pdf;Dep. Belarmino Lins;2015;Junho
http://www.ale.am.gov.br/wp-content/uploads/2015/07/boscorrrwrwr.pdf;Dep. Bosco Saraiva;2015;Junho
http://www.ale.am.gov.br/wp-content/uploads/2015/07/carlos-alberto1.1.pdf;Dep. Carlos Alberto;2015;Junho
http://www.ale.am.gov.br/wp-content/uploads/2015/07/davidf.pdf;Dep. David Almeida;2015;Junho
http://www.ale.am.gov.br/wp-content/uploads/2015/07/dermilson-21.pdf;Dep. Dermilson Chagas;2015;Junho
http://www.ale.am.gov.br/wp-content/uploads/2015/07/gomes1.pdf;DEP. Francisco Gomes;2015;Junho
http://www.ale.am.gov.br/wp-content/uploads/2015/07/francisco-Souza.pdf;Dep. Francisco Souza;2015;Junho
http://www.ale.am.gov.br/wp-content/uploads/2015/07/biewfwew.pdf;Dep. Frank Luiz da cunha Garcia;2015;Junho
http://www.ale.am.gov.br/wp-content/uploads/2015/07/Ferraz-2.pdf;Dep. José Augusto Ferraz;2015;Junho
http://www.ale.am.gov.br/wp-content/uploads/2015/07/ze-ricardofdffd.pdf;Dep. José Ricardo;2015;Junho
http://www.ale.am.gov.br/wp-content/uploads/2015/07/Neto..pdf;Dep. Josué Neto;2015;Junho
http://www.ale.am.gov.br/wp-content/uploads/2015/07/luiz-castro..pdf;Dep. Luiz Castro;2015;Junho
http://www.ale.am.gov.br/wp-content/uploads/2015/07/orlando1.pdf;Dep. Orlando Cidade;2015;Junho
http://www.ale.am.gov.br/wp-content/uploads/2015/07/platiny.pdf;Dep. Platiny Soares;2015;Junho
http://www.ale.am.gov.br/wp-content/uploads/2015/07/ricardo..pdf;Dep. Ricardo Nicolau;2015;Junho
http://www.ale.am.gov.br/wp-content/uploads/2015/07/sabass.pdf;Dep. Sabá Reis;2015;Junho
http://www.ale.am.gov.br/wp-content/uploads/2015/07/serafim..pdf;Dep. Serafim Corrêa;2015;Junho
http://www.ale.am.gov.br/wp-content/uploads/2015/07/sinesio..pdf;Dep. Sinésio Campos.;2015;Junho
http://www.ale.am.gov.br/wp-content/uploads/2015/07/dallas-2.pdf;Dep. Wanderley Dallas;2015;Junho
http://www.ale.am.gov.br/wp-content/uploads/2015/07/abdala1fefwefw.pdf;Deputado Abdala Fraxe;2015;Junho
