Nome;Ano;
http://www.ale.am.gov.br/wp-content/uploads/2015/09/acumulada3.pdf;ACUMULADAS;2015;Agosto
http://www.ale.am.gov.br/wp-content/uploads/2015/09/Abdala.pdf;Dep. Abdala Fraxe;2015;Agosto
http://www.ale.am.gov.br/wp-content/uploads/2015/09/Adjuto.pdf;Dep. Adjuto Afonso;2015;Agosto
http://www.ale.am.gov.br/wp-content/uploads/2015/09/Alessandra.pdf;Dep. Alessandra Campelo;2015;Agosto
http://www.ale.am.gov.br/wp-content/uploads/2015/09/Bi.pdf;Dep. Bi Garcia;2015;Agosto
http://www.ale.am.gov.br/wp-content/uploads/2015/09/Bosco.pdf;Dep. Bosco Saraiva;2015;Agosto
http://www.ale.am.gov.br/wp-content/uploads/2015/09/Carlos-Alberto.pdf;Dep. Carlos Alberto;2015;Agosto
http://www.ale.am.gov.br/wp-content/uploads/2015/09/david1.pdf;Dep. David Almeida;2015;Agosto
http://www.ale.am.gov.br/wp-content/uploads/2015/09/Dermilson.pdf;Dep. Dermilson Chagas;2015;Agosto
http://www.ale.am.gov.br/wp-content/uploads/2015/09/gomes.pdf;DEP. Francisco Gomes;2015;Agosto
http://www.ale.am.gov.br/wp-content/uploads/2015/09/Francisco-Souza.pdf;Dep. Francisco Souza;2015;Agosto
http://www.ale.am.gov.br/wp-content/uploads/2015/09/Jose-RIcardo.pdf;Dep. José Ricardo;2015;Agosto
http://www.ale.am.gov.br/wp-content/uploads/2015/09/Neto.pdf;Dep. Josué Neto;2015;Agosto
http://www.ale.am.gov.br/wp-content/uploads/2015/09/Luiz-Castro.pdf;Dep. Luiz Castro;2015;Agosto
http://www.ale.am.gov.br/wp-content/uploads/2015/09/Orlando-Cidade.pdf;Dep. Orlando Cidade;2015;Agosto
http://www.ale.am.gov.br/wp-content/uploads/2015/09/Platiny.pdf;dep. Platiny Soares;2015;Agosto
http://www.ale.am.gov.br/wp-content/uploads/2015/09/Ricardo-Nicolau.pdf;Dep. Ricardo Nicolau;2015;Agosto
http://www.ale.am.gov.br/wp-content/uploads/2015/09/Saba-Reis.pdf;Dep. Sabá Reis;2015;Agosto
http://www.ale.am.gov.br/wp-content/uploads/2015/09/Sinesio.pdf;Dep. Sinésio campos;2015;Agosto
http://www.ale.am.gov.br/wp-content/uploads/2015/09/vicente.pdf;Dep. Vicente Lopes;2015;Agosto
http://www.ale.am.gov.br/wp-content/uploads/2015/09/wanderley-Dallas.pdf;Dep. Wanderley Dallas;2015;Agosto
http://www.ale.am.gov.br/wp-content/uploads/2015/09/Alcimar.pdf;Dep.Alcimar Maciel;2015;Agosto
http://www.ale.am.gov.br/wp-content/uploads/2015/09/belarmino.pdf;Dep.Berlarmino Lins;2015;Agosto
http://www.ale.am.gov.br/wp-content/uploads/2015/09/Ferraz.pdf;Dep.José Ferraz;2015;Agosto
http://www.ale.am.gov.br/wp-content/uploads/2015/09/serafim.pdf;Dep.Serafim Correa;2015;Agosto
